Data	INCC Geral
1944.01	1,1164E-13
1944.02	1,1228E-13
1944.03	1,1674E-13
1944.04	1,1945E-13
1944.05	1,1881E-13
1944.06	1,2024E-13
1944.07	1,2200E-13
1944.08	1,1945E-13
1944.09	1,2534E-13
1944.10	1,2677E-13
1944.11	1,2948E-13
1944.12	1,2964E-13
1945.01	1,2391E-13
1945.02	1,2311E-13
1945.03	1,2311E-13
1945.04	1,2741E-13
1945.05	1,2773E-13
1945.06	1,2980E-13
1945.07	1,3139E-13
1945.08	1,3251E-13
1945.09	1,3585E-13
1945.10	1,3745E-13
1945.11	1,4302E-13
1945.12	1,4525E-13
1946.01	1,5289E-13
1946.02	1,5433E-13
1946.03	1,5353E-13
1946.04	1,5449E-13
1946.05	1,5624E-13
1946.06	1,5672E-13
1946.07	1,5895E-13
1946.08	1,6149E-13
1946.09	1,6691E-13
1946.10	1,6707E-13
1946.11	1,6834E-13
1946.12	1,6866E-13
1947.01	1,7360E-13
1947.02	1,7646E-13
1947.03	1,7710E-13
1947.04	1,7646E-13
1947.05	1,8443E-13
1947.06	1,8538E-13
1947.07	1,8650E-13
1947.08	1,8889E-13
1947.09	1,8857E-13
1947.10	1,8921E-13
1947.11	1,8889E-13
1947.12	1,8873E-13
1948.01	1,9112E-13
1948.02	1,9096E-13
1948.03	1,9128E-13
1948.04	1,9223E-13
1948.05	1,9239E-13
1948.06	1,9271E-13
1948.07	1,9287E-13
1948.08	1,9287E-13
1948.09	1,9287E-13
1948.10	1,9367E-13
1948.11	1,9367E-13
1948.12	1,9478E-13
1949.01	1,9303E-13
1949.02	1,9271E-13
1949.03	1,9590E-13
1949.04	1,9701E-13
1949.05	1,9812E-13
1949.06	2,0067E-13
1949.07	2,0290E-13
1949.08	2,1023E-13
1949.09	2,1437E-13
1949.10	2,1612E-13
1949.11	2,1740E-13
1949.12	2,1787E-13
1950.01	2,1341E-13
1950.02	2,1612E-13
1950.03	2,1803E-13
1950.04	2,2010E-13
1950.05	2,2138E-13
1950.06	2,1771E-13
1950.07	2,0864E-13
1950.08	2,1023E-13
1950.09	2,0943E-13
1950.10	2,1915E-13
1950.11	2,1915E-13
1950.12	2,2186E-13
1951.01	2,2281E-13
1951.02	2,2472E-13
1951.03	2,2281E-13
1951.04	2,2886E-13
1951.05	2,2934E-13
1951.06	2,4081E-13
1951.07	2,4176E-13
1951.08	2,4925E-13
1951.09	2,4829E-13
1951.10	2,5100E-13
1951.11	2,5148E-13
1951.12	2,5020E-13
1952.01	2,4845E-13
1952.02	2,4845E-13
1952.03	2,5323E-13
1952.04	2,5801E-13
1952.05	2,5801E-13
1952.06	2,5642E-13
1952.07	2,5960E-13
1952.08	2,6119E-13
1952.09	2,6119E-13
1952.10	2,6279E-13
1952.11	2,6279E-13
1952.12	2,6916E-13
1953.01	2,6597E-13
1953.02	2,6916E-13
1953.03	2,6756E-13
1953.04	2,7871E-13
1953.05	2,7234E-13
1953.06	2,9145E-13
1953.07	2,9145E-13
1953.08	2,8986E-13
1953.09	2,9464E-13
1953.10	2,9782E-13
1953.11	3,0101E-13
1953.12	3,0101E-13
1954.01	3,0241E-13
1954.02	3,0433E-13
1954.03	3,1204E-13
1954.04	3,1204E-13
1954.05	3,2745E-13
1954.06	3,3323E-13
1954.07	3,4478E-13
1954.08	3,5442E-13
1954.09	3,9486E-13
1954.10	3,8909E-13
1954.11	3,9294E-13
1954.12	3,9679E-13
1955.01	3,9101E-13
1955.02	3,9101E-13
1955.03	3,9294E-13
1955.04	3,9872E-13
1955.05	3,9486E-13
1955.06	3,9679E-13
1955.07	4,0064E-13
1955.08	4,0064E-13
1955.09	4,3531E-13
1955.10	4,3146E-13
1955.11	4,3146E-13
1955.12	4,3146E-13
1956.01	4,4109E-13
1956.02	4,5072E-13
1956.03	4,5843E-13
1956.04	4,4880E-13
1956.05	4,5265E-13
1956.06	4,7769E-13
1956.07	4,8154E-13
1956.08	4,9503E-13
1956.09	5,4511E-13
1956.10	5,5666E-13
1956.11	5,5281E-13
1956.12	5,5088E-13
1957.01	5,8363E-13
1957.02	5,8363E-13
1957.03	5,8556E-13
1957.04	5,8556E-13
1957.05	5,8556E-13
1957.06	5,8941E-13
1957.07	5,7785E-13
1957.08	5,8170E-13
1957.09	5,8170E-13
1957.10	5,7978E-13
1957.11	5,8556E-13
1957.12	5,8748E-13
1958.01	5,9133E-13
1958.02	5,9326E-13
1958.03	6,2023E-13
1958.04	6,2600E-13
1958.05	6,3756E-13
1958.06	6,4527E-13
1958.07	6,4719E-13
1958.08	6,6260E-13
1958.09	7,0498E-13
1958.10	7,1846E-13
1958.11	7,4350E-13
1958.12	7,5313E-13
1959.01	7,9743E-13
1959.02	8,4366E-13
1959.03	9,0530E-13
1959.04	9,0337E-13
1959.05	9,0337E-13
1959.06	8,8989E-13
1959.07	8,9374E-13
1959.08	8,8989E-13
1959.09	8,9374E-13
1959.10	9,0145E-13
1959.11	9,1493E-13
1959.12	9,0915E-13
1960.01	9,0723E-13
1960.02	9,0915E-13
1960.03	9,5153E-13
1960.04	9,5731E-13
1960.05	9,7272E-13
1960.06	9,8812E-13
1960.07	9,9005E-13
1960.08	1,0344E-12
1960.09	1,0555E-12
1960.10	1,1730E-12
1960.11	1,2732E-12
1960.12	1,2809E-12
1961.01	1,2809E-12
1961.02	1,3040E-12
1961.03	1,3483E-12
1961.04	1,4254E-12
1961.05	1,4369E-12
1961.06	1,4581E-12
1961.07	1,4620E-12
1961.08	1,4774E-12
1961.09	1,4812E-12
1961.10	1,6392E-12
1961.11	1,8164E-12
1961.12	1,8356E-12
1962.01	1,8568E-12
1962.02	1,8915E-12
1962.03	1,8934E-12
1962.04	1,9185E-12
1962.05	1,9570E-12
1962.06	2,0032E-12
1962.07	2,0494E-12
1962.08	2,1053E-12
1962.09	2,1342E-12
1962.10	2,2864E-12
1962.11	2,5943E-12
1962.12	2,8423E-12
1963.01	3,5863E-12
1963.02	3,6804E-12
1963.03	3,6975E-12
1963.04	3,7517E-12
1963.05	3,8116E-12
1963.06	3,8572E-12
1963.07	3,9484E-12
1963.08	3,9712E-12
1963.09	4,1822E-12
1963.10	4,3504E-12
1963.11	4,5670E-12
1963.12	4,6697E-12
1964.01	5,5591E-12
1964.02	5,7330E-12
1964.03	6,4030E-12
1964.04	6,5797E-12
1964.05	6,8192E-12
1964.06	6,9703E-12
1964.07	7,4492E-12
1964.08	7,6317E-12
1964.09	7,8740E-12
1964.10	8,2361E-12
1964.11	8,8233E-12
1964.12	9,5275E-12
1965.01	1,0109E-11
1965.02	1,0514E-11
1965.03	1,1871E-11
1965.04	1,2244E-11
1965.05	1,2387E-11
1965.06	1,2413E-11
1965.07	1,2803E-11
1965.08	1,2843E-11
1965.09	1,3085E-11
1965.10	1,3325E-11
1965.11	1,3541E-11
1965.12	1,3658E-11
1966.01	1,4360E-11
1966.02	1,4993E-11
1966.03	1,5776E-11
1966.04	1,6435E-11
1966.05	1,6646E-11
1966.06	1,6760E-11
1966.07	1,7307E-11
1966.08	1,7752E-11
1966.09	1,8077E-11
1966.10	1,8214E-11
1966.11	1,8362E-11
1966.12	1,8516E-11
1967.01	1,9839E-11
1967.02	2,0831E-11
1967.03	2,2288E-11
1967.04	2,3411E-11
1967.05	2,3739E-11
1967.06	2,4132E-11
1967.07	2,4358E-11
1967.08	2,4831E-11
1967.09	2,5315E-11
1967.10	2,5606E-11
1967.11	2,5974E-11
1967.12	2,6071E-11
1968.01	2,6952E-11
1968.02	2,7776E-11
1968.03	2,8571E-11
1968.04	3,0324E-11
1968.05	3,1080E-11
1968.06	3,2229E-11
1968.07	3,2494E-11
1968.08	3,2924E-11
1968.09	3,3343E-11
1968.10	3,3942E-11
1968.11	3,4401E-11
1968.12	3,4492E-11
1969.01	3,4353E-11
1969.02	3,5453E-11
1969.03	3,5806E-11
1969.04	3,6037E-11
1969.05	3,7027E-11
1969.06	3,7280E-11
1969.07	3,7879E-11
1969.08	3,7970E-11
1969.09	3,8312E-11
1969.10	3,8481E-11
1969.11	3,8658E-11
1969.12	3,8835E-11
1970.01	3,9190E-11
1970.02	3,9722E-11
1970.03	4,0786E-11
1970.04	4,2027E-11
1970.05	4,3268E-11
1970.06	4,3800E-11
1970.07	4,4332E-11
1970.08	4,4687E-11
1970.09	4,5396E-11
1970.10	4,5574E-11
1970.11	4,5751E-11
1970.12	4,6106E-11
1971.01	4,6638E-11
1971.02	4,7524E-11
1971.03	4,8056E-11
1971.04	4,8943E-11
1971.05	4,9830E-11
1971.06	5,0362E-11
1971.07	5,0894E-11
1971.08	5,1248E-11
1971.09	5,1603E-11
1971.10	5,1780E-11
1971.11	5,1958E-11
1971.12	5,1958E-11
1972.01	5,2312E-11
1972.02	5,2667E-11
1972.03	5,4618E-11
1972.04	5,6745E-11
1972.05	5,9228E-11
1972.06	5,9405E-11
1972.07	6,0115E-11
1972.08	6,1001E-11
1972.09	6,1533E-11
1972.10	6,1711E-11
1972.11	6,1888E-11
1972.12	6,2243E-11
1973.01	6,3307E-11
1973.02	6,4016E-11
1973.03	6,5257E-11
1973.04	6,7740E-11
1973.05	6,9336E-11
1973.06	7,0045E-11
1973.07	7,0755E-11
1973.08	7,1464E-11
1973.09	7,2173E-11
1973.10	7,3592E-11
1973.11	7,4478E-11
1973.12	7,5188E-11
1974.01	7,7138E-11
1974.02	7,9213E-11
1974.03	8,2413E-11
1974.04	8,5768E-11
1974.05	8,9413E-11
1974.06	9,2989E-11
1974.07	9,3984E-11
1974.08	9,4774E-11
1974.09	9,5589E-11
1974.10	9,6373E-11
1974.11	9,7760E-11
1974.12	9,9198E-11
1975.01	1,0118E-10
1975.02	1,0304E-10
1975.03	1,0700E-10
1975.04	1,0939E-10
1975.05	1,1236E-10
1975.06	1,1350E-10
1975.07	1,1521E-10
1975.08	1,1597E-10
1975.09	1,1740E-10
1975.10	1,1843E-10
1975.11	1,2104E-10
1975.12	1,2310E-10
1976.01	1,2584E-10
1976.02	1,3055E-10
1976.03	1,3745E-10
1976.04	1,4551E-10
1976.05	1,5338E-10
1976.06	1,6114E-10
1976.07	1,6917E-10
1976.08	1,7602E-10
1976.09	1,8300E-10
1976.10	1,8745E-10
1976.11	1,9292E-10
1976.12	1,9524E-10
1977.01	2,0239E-10
1977.02	2,1259E-10
1977.03	2,1933E-10
